Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4446812k free), swap 16212796k(12112892k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=4284481536 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-10-27T01:40:52.244+0800: 0.840: [GC (Allocation Failure) 2020-10-27T01:40:52.244+0800: 0.841: [ParNew: 33856K->3488K(38080K), 0.0042297 secs] 33856K->3488K(122752K), 0.0045195 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:52.494+0800: 1.087: [GC (Allocation Failure) 2020-10-27T01:40:52.494+0800: 1.087: [ParNew: 37344K->2844K(38080K), 0.0131197 secs] 37344K->5121K(122752K), 0.0132200 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2020-10-27T01:40:52.682+0800: 1.274: [GC (Allocation Failure) 2020-10-27T01:40:52.682+0800: 1.274: [ParNew: 36700K->2736K(38080K), 0.0031512 secs] 38977K->5014K(122752K), 0.0032448 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:52.854+0800: 1.443: [GC (Allocation Failure) 2020-10-27T01:40:52.854+0800: 1.443: [ParNew: 36592K->2737K(38080K), 0.0041903 secs] 38870K->5587K(122752K), 0.0042748 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:53.041+0800: 1.638: [GC (Allocation Failure) 2020-10-27T01:40:53.041+0800: 1.638: [ParNew: 36593K->3781K(38080K), 0.0047124 secs] 39443K->6631K(122752K), 0.0048328 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:53.229+0800: 1.825: [GC (Allocation Failure) 2020-10-27T01:40:53.229+0800: 1.825: [ParNew: 37637K->3596K(38080K), 0.0059219 secs] 40487K->7639K(122752K), 0.0060005 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-27T01:40:53.432+0800: 2.020: [GC (Allocation Failure) 2020-10-27T01:40:53.432+0800: 2.020: [ParNew: 37452K->2576K(38080K), 0.0048978 secs] 41495K->7436K(122752K), 0.0049950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:53.432+0800: 2.025: [GC (CMS Initial Mark) [1 CMS-initial-mark: 4859K(84672K)] 7799K(122752K), 0.0006963 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:40:53.432+0800: 2.026: [CMS-concurrent-mark-start]
2020-10-27T01:40:53.494+0800: 2.083: [CMS-concurrent-mark: 0.057/0.057 secs] [Times: user=0.23 sys=0.02, real=0.06 secs] 
2020-10-27T01:40:53.494+0800: 2.083: [CMS-concurrent-preclean-start]
