Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4623716k free), swap 16212796k(12534284k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-10-27T00:12:44.544+0800: 0.209: [GC (Allocation Failure) 2020-10-27T00:12:44.544+0800: 0.209: [ParNew: 33611K->4217K(38080K), 0.0043846 secs] 33611K->13017K(122752K), 0.0046177 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.563+0800: 0.228: [GC (Allocation Failure) 2020-10-27T00:12:44.563+0800: 0.228: [ParNew: 38073K->4224K(38080K), 0.0076266 secs] 46873K->27860K(122752K), 0.0077124 secs] [Times: user=0.02 sys=0.05, real=0.01 secs] 
2020-10-27T00:12:44.582+0800: 0.247: [GC (Allocation Failure) 2020-10-27T00:12:44.582+0800: 0.247: [ParNew: 38080K->4219K(38080K), 0.0101882 secs] 61716K->43010K(122752K), 0.0102705 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.605+0800: 0.270: [GC (Allocation Failure) 2020-10-27T00:12:44.605+0800: 0.270: [ParNew: 38075K->4223K(38080K), 0.0077234 secs] 76866K->54426K(122752K), 0.0077983 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.613+0800: 0.278: [GC (CMS Initial Mark) [1 CMS-initial-mark: 50202K(84672K)] 54714K(122752K), 0.0001666 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:44.613+0800: 0.278: [CMS-concurrent-mark-start]
2020-10-27T00:12:44.623+0800: 0.288: [CMS-concurrent-mark: 0.009/0.009 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.623+0800: 0.288: [GC (Allocation Failure) 2020-10-27T00:12:44.623+0800: 0.288: [ParNew: 37789K->4217K(38080K), 0.0061243 secs] 87992K->62544K(122752K), 0.0061866 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.629+0800: 0.294: [CMS-concurrent-preclean-start]
2020-10-27T00:12:44.629+0800: 0.294: [CMS-concurrent-preclean: 0.000/0.000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:44.629+0800: 0.294: [CMS-concurrent-abortable-preclean-start]
2020-10-27T00:12:44.635+0800: 0.300: [GC (Allocation Failure) 2020-10-27T00:12:44.635+0800: 0.300: [ParNew: 37707K->4224K(38080K), 0.0095143 secs] 96034K->77286K(122752K), 0.0095868 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.653+0800: 0.318: [GC (Allocation Failure) 2020-10-27T00:12:44.653+0800: 0.318: [ParNew: 37767K->4222K(38080K), 0.0076144 secs] 110830K->87247K(122752K), 0.0076837 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.668+0800: 0.333: [GC (Allocation Failure) 2020-10-27T00:12:44.668+0800: 0.333: [ParNew: 38073K->4220K(38080K), 0.0086704 secs] 121098K->98898K(133240K), 0.0087404 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:44.684+0800: 0.349: [GC (Allocation Failure) 2020-10-27T00:12:44.684+0800: 0.349: [ParNew: 38076K->4221K(38080K), 0.0101136 secs] 132754K->113316K(147792K), 0.0101859 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:44.701+0800: 0.366: [GC (Allocation Failure) 2020-10-27T00:12:44.701+0800: 0.366: [ParNew: 37474K->4218K(38080K), 0.0088780 secs] 146569K->124939K(159428K), 0.0089516 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:44.718+0800: 0.383: [GC (Allocation Failure) 2020-10-27T00:12:44.718+0800: 0.383: [ParNew: 37867K->4222K(38080K), 0.0090435 secs] 158588K->136840K(171300K), 0.0091172 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:44.734+0800: 0.399: [GC (Allocation Failure) 2020-10-27T00:12:44.734+0800: 0.399: [ParNew: 37630K->4220K(38080K), 0.0098549 secs] 170248K->149932K(184424K), 0.0099249 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
2020-10-27T00:12:44.752+0800: 0.417: [GC (Allocation Failure) 2020-10-27T00:12:44.752+0800: 0.417: [ParNew: 38076K->4219K(38080K), 0.0084903 secs] 183788K->162013K(196468K), 0.0086182 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2020-10-27T00:12:44.768+0800: 0.432: [GC (Allocation Failure) 2020-10-27T00:12:44.768+0800: 0.433: [ParNew: 37589K->4218K(38080K), 0.0083610 secs] 195383K->173427K(207788K), 0.0084318 secs] [Times: user=0.05 sys=0.02, real=0.01 secs] 
