Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4625720k free), swap 16212796k(12532972k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=4284481536 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-10-27T00:12:47.062+0800: 0.163: [GC (Allocation Failure) 2020-10-27T00:12:47.062+0800: 0.163: [ParNew: 33856K->4220K(38080K), 0.0039924 secs] 33856K->12428K(122752K), 0.0042185 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.078+0800: 0.180: [GC (Allocation Failure) 2020-10-27T00:12:47.078+0800: 0.180: [ParNew: 38070K->4220K(38080K), 0.0061528 secs] 46278K->22443K(122752K), 0.0062259 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.094+0800: 0.197: [GC (Allocation Failure) 2020-10-27T00:12:47.094+0800: 0.197: [ParNew: 38076K->4224K(38080K), 0.0083262 secs] 56299K->34838K(122752K), 0.0084155 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-10-27T00:12:47.109+0800: 0.213: [GC (Allocation Failure) 2020-10-27T00:12:47.109+0800: 0.213: [ParNew: 38063K->4220K(38080K), 0.0084940 secs] 68677K->47147K(122752K), 0.0085620 secs] [Times: user=0.05 sys=0.02, real=0.02 secs] 
2020-10-27T00:12:47.125+0800: 0.222: [GC (CMS Initial Mark) [1 CMS-initial-mark: 42926K(84672K)] 47399K(122752K), 0.0001675 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.125+0800: 0.222: [CMS-concurrent-mark-start]
2020-10-27T00:12:47.156+0800: 0.257: [CMS-concurrent-mark: 0.035/0.035 secs] [Times: user=0.01 sys=0.01, real=0.03 secs] 
2020-10-27T00:12:47.156+0800: 0.257: [GC (Allocation Failure) 2020-10-27T00:12:47.156+0800: 0.257: [ParNew: 38067K->4214K(38080K), 0.0066682 secs] 80994K->56863K(122752K), 0.0067209 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.156+0800: 0.264: [CMS-concurrent-preclean-start]
2020-10-27T00:12:47.156+0800: 0.264: [CMS-concurrent-preclean: 0.001/0.001 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.156+0800: 0.264: [CMS-concurrent-abortable-preclean-start]
2020-10-27T00:12:47.172+0800: 0.270: [GC (Allocation Failure) 2020-10-27T00:12:47.172+0800: 0.270: [ParNew: 37770K->4210K(38080K), 0.0090695 secs] 90420K->70079K(122752K), 0.0091402 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.187+0800: 0.286: [GC (Allocation Failure) 2020-10-27T00:12:47.187+0800: 0.286: [ParNew: 37973K->4219K(38080K), 0.0087022 secs] 103842K->83047K(122752K), 0.0087727 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T00:12:47.203+0800: 0.303: [GC (Allocation Failure) 2020-10-27T00:12:47.203+0800: 0.303: [ParNew: 38075K->4221K(38080K), 0.0087230 secs] 116903K->95507K(129840K), 0.0087958 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
